,Operación,Provincia,Precio Venta
883,Venta,Girona,590875
884,Alquiler,Lleida,719213
885,Venta,Girona,1191281
886,Alquiler,Barcelona,1356160
887,Alquiler,Lleida,412395
888,Alquiler,Lleida,1420012
889,Venta,Tarragona,1598520
890,Venta,Girona,2543625
891,Alquiler,Tarragona,2025638
892,Venta,Tarragona,1115604
893,Alquiler,Lleida,610696
894,Alquiler,Barcelona,1341024
895,Alquiler,Tarragona,1340632
896,Alquiler,Lleida,581568
897,Venta,Barcelona,2449452
898,Venta,Barcelona,315810
899,Alquiler,Barcelona,1072768
900,Alquiler,Girona,1653456
901,Alquiler,Barcelona,2722146
902,Alquiler,Tarragona,1029367
903,Venta,Barcelona,455762
904,Alquiler,Girona,479892
905,Alquiler,Tarragona,500140
906,Alquiler,Barcelona,491706
907,Venta,Girona,933444
908,Venta,Tarragona,1204595
909,Alquiler,Tarragona,1506853
910,Alquiler,Barcelona,1036665
911,Alquiler,Lleida,1967400
912,Alquiler,Lleida,1676500
913,Venta,Girona,366480
914,Venta,Girona,1869885
915,Alquiler,Lleida,1511095
916,Venta,Tarragona,1719757
917,Alquiler,Lleida,1662089
918,Alquiler,Lleida,1311660
919,Venta,Barcelona,1242042
920,Venta,Tarragona,1273030
921,Venta,Lleida,1238202
922,Venta,Tarragona,1440742
923,Alquiler,Girona,2213909
924,Alquiler,Lleida,2039512
925,Alquiler,Barcelona,2376550
926,Alquiler,Barcelona,709700
927,Alquiler,Barcelona,1615647
928,Alquiler,Tarragona,410260
929,Venta,Tarragona,1604687
930,Venta,Lleida,2053384
931,Venta,Lleida,754435
932,Alquiler,Tarragona,795000
933,Alquiler,Girona,2212740
934,Alquiler,Lleida,1373008
935,Alquiler,Girona,573040
936,Alquiler,Girona,1932552
937,Venta,Barcelona,766774
938,Alquiler,Girona,1962360
939,Venta,Barcelona,1662822
940,Venta,Barcelona,614244
941,Alquiler,Tarragona,1485915
942,Venta,Tarragona,1273000
943,Alquiler,Girona,558030
944,Venta,Tarragona,894888
945,Venta,Girona,1447551
946,Venta,Lleida,474624
947,Alquiler,Girona,1725597
948,Alquiler,Barcelona,1241562
949,Venta,Girona,2153852
950,Venta,Barcelona,307255
951,Venta,Barcelona,954808
952,Alquiler,Girona,1510320
953,Venta,Lleida,330956
954,Venta,Girona,1938400
955,Venta,Tarragona,509840
956,Alquiler,Tarragona,368760
957,Alquiler,Tarragona,1071667
958,Venta,Tarragona,1872876
959,Venta,Girona,1732500
960,Alquiler,Girona,535584
961,Alquiler,Barcelona,1271592
962,Venta,Lleida,1593720
963,Venta,Girona,1038590
964,Venta,Girona,525616
965,Alquiler,Lleida,1994532
966,Venta,Girona,722925
967,Alquiler,Lleida,769824
968,Venta,Lleida,2581552
969,Alquiler,Girona,1193408
970,Venta,Lleida,1145600
971,Venta,Girona,1059303
972,Alquiler,Lleida,600642
973,Alquiler,Lleida,920144
974,Venta,Lleida,409563
975,Alquiler,Barcelona,1236560
976,Alquiler,Barcelona,1494490
977,Venta,Tarragona,659295
978,Alquiler,Barcelona,672792
979,Venta,Barcelona,589016
980,Venta,Girona,2273762
981,Alquiler,Barcelona,1588940
982,Alquiler,Barcelona,1127750
983,Alquiler,Lleida,1678286
984,Alquiler,Barcelona,2427300
985,Alquiler,Lleida,1753240
986,Venta,Lleida,1894752
987,Alquiler,Tarragona,2000475
988,Venta,Lleida,528120
989,Venta,Barcelona,1717898
990,Venta,Barcelona,1870757
991,Alquiler,Girona,2326118
992,Venta,Tarragona,1911510
993,Venta,Girona,1346961
994,Venta,Tarragona,1414800
995,Alquiler,Girona,690184
996,Alquiler,Girona,448932
997,Venta,Girona,2101743
998,Venta,Girona,430743
999,Venta,Lleida,2707200
1000,Venta,Barcelona,1368750
1001,Alquiler,Barcelona,2677056
1002,Venta,Tarragona,638058
1003,Venta,Lleida,866780
1004,Alquiler,Girona,1437360
1005,Venta,Lleida,1706240
1006,Alquiler,Tarragona,822504
1007,Venta,Lleida,622787
1008,Alquiler,Tarragona,1266732
1009,Venta,Girona,945702
1010,Alquiler,Barcelona,862848
1011,Venta,Tarragona,1008071
1012,Venta,Barcelona,1657880
1013,Venta,Barcelona,1457226
1014,Alquiler,Barcelona,1508472
1015,Alquiler,Barcelona,1276864
1016,Venta,Girona,2101862
1017,Alquiler,Barcelona,1360064
1018,Venta,Lleida,369984
1019,Alquiler,Lleida,1176855
1020,Alquiler,Girona,452962
1021,Alquiler,Tarragona,1177653
1022,Venta,Girona,889980
1023,Alquiler,Barcelona,1615424
1024,Alquiler,Tarragona,2022624
1025,Alquiler,Barcelona,1231262
1026,Alquiler,Girona,352972
1027,Venta,Lleida,610416
1028,Alquiler,Lleida,1089181
1029,Alquiler,Tarragona,1194505
1030,Alquiler,Barcelona,1106677
1031,Alquiler,Barcelona,1262250
1032,Alquiler,Lleida,1236672
1033,Alquiler,Girona,923355
1034,Venta,Barcelona,2398788
1035,Venta,Lleida,1636560
1036,Venta,Lleida,2496723
1037,Alquiler,Girona,325326
1038,Alquiler,Lleida,1441440
1039,Venta,Barcelona,1315440
1040,Alquiler,Tarragona,1732302
1041,Venta,Tarragona,374310
1042,Alquiler,Tarragona,1844004
1043,Alquiler,Tarragona,1603196
1044,Alquiler,Girona,2402920
1045,Alquiler,Girona,1823280
1046,Alquiler,Barcelona,949693
1047,Alquiler,Barcelona,2362572
1048,Venta,Barcelona,672987
1049,Venta,Tarragona,703680
1050,Venta,Lleida,1940448
1051,Venta,Girona,624600
1052,Venta,Girona,224280
1053,Alquiler,Barcelona,2138771
1054,Alquiler,Lleida,1250408
1055,Alquiler,Girona,300105
1056,Venta,Barcelona,599850
1057,Venta,Barcelona,1919827
1058,Venta,Girona,573230
1059,Venta,Barcelona,500560
1060,Venta,Barcelona,259515
1061,Venta,Tarragona,652052
1062,Venta,Barcelona,1886541
1063,Alquiler,Girona,607200
1064,Alquiler,Lleida,1502800
1065,Venta,Girona,2808008
1066,Venta,Lleida,892620
1067,Venta,Barcelona,1471197
1068,Venta,Tarragona,1065744
1069,Venta,Lleida,1162784
1070,Venta,Girona,1134452
1071,Alquiler,Girona,592152
1072,Alquiler,Tarragona,2083866
1073,Alquiler,Lleida,2141830
1074,Alquiler,Barcelona,2275050
1075,Venta,Lleida,298368
1076,Alquiler,Barcelona,1911604
1077,Alquiler,Barcelona,1850644
1078,Venta,Girona,777686
1079,Alquiler,Lleida,2279354
1080,Alquiler,Barcelona,1128420
1081,Venta,Tarragona,1615128
1082,Alquiler,Tarragona,1332030
1083,Alquiler,Girona,1370138
1084,Venta,Barcelona,424175
1085,Alquiler,Lleida,2546180
1086,Alquiler,Tarragona,1199730
1087,Alquiler,Tarragona,760176
1088,Venta,Barcelona,1081248
1089,Alquiler,Barcelona,1816793
1090,Venta,Tarragona,943800
1091,Alquiler,Tarragona,2130375
1092,Alquiler,Girona,2209344
1093,Venta,Barcelona,1187477
1094,Venta,Barcelona,1772700
1095,Venta,Girona,539392
1096,Venta,Tarragona,771108
1097,Venta,Barcelona,1960808
1098,Alquiler,Girona,621314
1099,Alquiler,Tarragona,1814238
1100,Alquiler,Lleida,468952
1101,Venta,Tarragona,1950772
1102,Venta,Lleida,932250
1103,Venta,Lleida,786714
1104,Alquiler,Tarragona,541648
1105,Venta,Girona,1279434
1106,Alquiler,Tarragona,650580
1107,Alquiler,Lleida,1009328
1108,Alquiler,Tarragona,2064634
1109,Venta,Lleida,924990
1110,Alquiler,Barcelona,372447
1111,Alquiler,Barcelona,1602300
1112,Venta,Tarragona,1323353
1113,Venta,Girona,499244
1114,Alquiler,Lleida,963020
1115,Venta,Lleida,493632
1116,Alquiler,Girona,1037498
1117,Alquiler,Lleida,2741308
1118,Alquiler,Barcelona,1912482
1119,Venta,Girona,1707660
1120,Venta,Lleida,1592624
1121,Venta,Girona,1339044
1122,Venta,Girona,879357
1123,Venta,Girona,1215344
1124,Alquiler,Tarragona,2287075
1125,Venta,Tarragona,462315
1126,Alquiler,Tarragona,359775
1127,Venta,Barcelona,1859480
1128,Alquiler,Girona,899640
1129,Alquiler,Barcelona,444338
1130,Venta,Barcelona,795912
1131,Alquiler,Barcelona,900956
1132,Venta,Lleida,712404
1133,Venta,Barcelona,879254
1134,Alquiler,Tarragona,349102
1135,Venta,Lleida,297882
1136,Venta,Lleida,563475
1137,Venta,Barcelona,1066550
1138,Venta,Girona,742176
1139,Venta,Tarragona,1318660
1140,Venta,Lleida,1601334
1141,Venta,Tarragona,1033850
1142,Alquiler,Barcelona,1394206
1143,Alquiler,Barcelona,2176768
1144,Alquiler,Tarragona,850226
1145,Venta,Barcelona,1090782
1146,Alquiler,Lleida,1519137
1147,Alquiler,Barcelona,984192
1148,Alquiler,Lleida,481656
1149,Alquiler,Lleida,909090
1150,Venta,Barcelona,1308398
1151,Venta,Girona,1966272
1152,Venta,Lleida,2021232
1153,Alquiler,Barcelona,2865688
1154,Venta,Tarragona,857374
1155,Venta,Tarragona,1305200
1156,Venta,Girona,1614170
1157,Venta,Barcelona,2436448
1158,Venta,Tarragona,1823708
1159,Venta,Barcelona,2148384
1160,Venta,Lleida,1594715
1161,Venta,Tarragona,698301
1162,Alquiler,Tarragona,523989
1163,Venta,Lleida,750984
1164,Alquiler,Lleida,1665134
1165,Alquiler,Lleida,1820540
1166,Venta,Lleida,1076464
1167,Venta,Girona,1136502
1168,Alquiler,Tarragona,1051500
1169,Alquiler,Tarragona,744480
1170,Venta,Tarragona,647280
1171,Venta,Girona,1697640
1172,Venta,Lleida,463306
1173,Venta,Lleida,322344
1174,Alquiler,Girona,484592
1175,Venta,Barcelona,1305129
1176,Alquiler,Lleida,711634
1177,Venta,Tarragona,1468614
1178,Venta,Barcelona,780598
1179,Alquiler,Barcelona,354270
1180,Alquiler,Barcelona,425790
1181,Venta,Girona,1203246
1182,Alquiler,Girona,360540
1183,Alquiler,Lleida,639952
1184,Venta,Barcelona,1388388
1185,Alquiler,Girona,756208
1186,Alquiler,Girona,442300
1187,Alquiler,Girona,375813
1188,Alquiler,Barcelona,1471605
1189,Venta,Girona,1401633
1190,Venta,Barcelona,1256274
1191,Alquiler,Girona,2055310
1192,Alquiler,Barcelona,1320236
1193,Alquiler,Tarragona,969707
1194,Alquiler,Girona,743360
1195,Venta,Girona,614048
1196,Venta,Tarragona,233358
1197,Venta,Barcelona,917378
1198,Alquiler,Barcelona,235746
1199,Venta,Barcelona,474600
1200,Venta,Tarragona,298350
1201,Alquiler,Tarragona,1100046
1202,Venta,Lleida,1013175
1203,Venta,Barcelona,2151435
1204,Venta,Barcelona,2105079
1205,Venta,Barcelona,953316
1206,Venta,Tarragona,1531000
1207,Alquiler,Girona,1449512
1208,Alquiler,Girona,395850
1209,Alquiler,Lleida,1504477
1210,Venta,Lleida,935694
1211,Venta,Barcelona,1246960
1212,Venta,Tarragona,1238006
1213,Alquiler,Girona,655690
1214,Alquiler,Lleida,293370
1215,Alquiler,Lleida,2688046
1216,Venta,Barcelona,1830800
1217,Venta,Girona,1729416
1218,Venta,Barcelona,2234653
1219,Venta,Tarragona,438480
1220,Alquiler,Barcelona,2032295
1221,Alquiler,Tarragona,1377880
1222,Venta,Girona,1805475
1223,Venta,Tarragona,1070740
1224,Venta,Girona,785068
1225,Venta,Lleida,1497195
1226,Alquiler,Girona,1526840
1227,Alquiler,Tarragona,996588
1228,Alquiler,Tarragona,451643
1229,Venta,Girona,2422720
1230,Venta,Barcelona,1292980
1231,Alquiler,Barcelona,949578
1232,Venta,Lleida,820776
1233,Venta,Lleida,848888
1234,Venta,Lleida,1673173
1235,Venta,Barcelona,841232
1236,Alquiler,Lleida,376090
1237,Venta,Girona,820608
1238,Venta,Lleida,839615
1239,Alquiler,Lleida,2562435
1240,Alquiler,Tarragona,630608
1241,Alquiler,Girona,484200
1242,Alquiler,Girona,269516
1243,Alquiler,Barcelona,1152718
1244,Venta,Girona,1477428
1245,Venta,Barcelona,367132
1246,Venta,Barcelona,1557884
1247,Alquiler,Tarragona,851032
1248,Alquiler,Barcelona,500148
1249,Venta,Girona,1362843
1250,Alquiler,Barcelona,730350
1251,Venta,Barcelona,867636
1252,Alquiler,Barcelona,459725
1253,Venta,Barcelona,757809
1254,Venta,Girona,354360
1255,Venta,Girona,1620192
1256,Venta,Girona,1149525
1257,Alquiler,Tarragona,1248862
1258,Venta,Tarragona,1495260
1259,Venta,Barcelona,485849
1260,Alquiler,Tarragona,1194930
1261,Alquiler,Barcelona,525096
1262,Venta,Tarragona,849464
1263,Alquiler,Tarragona,1843074
1264,Alquiler,Barcelona,627321
1265,Venta,Tarragona,363261
1266,Venta,Lleida,349720
1267,Alquiler,Girona,1191044
1268,Venta,Barcelona,1307688
1269,Alquiler,Barcelona,531784
1270,Venta,Tarragona,1730876
1271,Alquiler,Girona,1500984
1272,Venta,Girona,1599233
1273,Venta,Lleida,1821771
1274,Alquiler,Tarragona,1754180
1275,Alquiler,Lleida,1617270
1276,Alquiler,Lleida,2232690
1277,Alquiler,Lleida,1040028
1278,Venta,Lleida,804884
1279,Alquiler,Lleida,1938000
1280,Venta,Girona,1004608
1281,Venta,Tarragona,520914
1282,Alquiler,Girona,812660
1283,Alquiler,Tarragona,400875
1284,Alquiler,Girona,682344
1285,Alquiler,Girona,2872287
1286,Venta,Barcelona,1612334
1287,Alquiler,Tarragona,2413648
1288,Alquiler,Tarragona,1857807
1289,Alquiler,Lleida,1560125
1290,Venta,Tarragona,1273320
1291,Alquiler,Lleida,1566720
1292,Venta,Tarragona,1806650
1293,Venta,Barcelona,480318
1294,Alquiler,Girona,899228
1295,Venta,Lleida,716272
1296,Venta,Girona,1751450
1297,Venta,Barcelona,1179488
1298,Venta,Girona,1702590
1299,Venta,Barcelona,309702
1300,Venta,Tarragona,2531334
1301,Venta,Girona,2371392
1302,Venta,Tarragona,657020
1303,Venta,Tarragona,627300
1304,Venta,Tarragona,778141
1305,Venta,Barcelona,2229812
1306,Venta,Girona,2589312
1307,Venta,Lleida,1004707
1308,Alquiler,Lleida,574200
1309,Alquiler,Lleida,1517628
1310,Alquiler,Girona,1059680
1311,Venta,Girona,1523880
1312,Alquiler,Lleida,921195
1313,Alquiler,Tarragona,1205864
1314,Alquiler,Lleida,1035416
1315,Alquiler,Barcelona,1795819
1316,Venta,Tarragona,375999
1317,Alquiler,Tarragona,1543850
1318,Alquiler,Lleida,1727588
1319,Alquiler,Girona,841484
1320,Alquiler,Girona,2478566
1321,Venta,Lleida,2396835
1322,Alquiler,Lleida,431760
1323,Venta,Girona,454416
1324,Alquiler,Barcelona,563122
1325,Alquiler,Barcelona,651472
1326,Venta,Barcelona,281521
1327,Alquiler,Barcelona,2306031
1328,Venta,Girona,1367366
1329,Alquiler,Lleida,2094795
1330,Venta,Tarragona,1435632
1331,Alquiler,Tarragona,1619122
1332,Venta,Tarragona,287952
1333,Alquiler,Lleida,705628
1334,Venta,Tarragona,954930
1335,Alquiler,Tarragona,2583126
1336,Alquiler,Girona,493971
1337,Venta,Girona,163920
1338,Alquiler,Tarragona,716793
1339,Venta,Tarragona,1033548
1340,Venta,Girona,1007688
1341,Venta,Barcelona,1698664
1342,Alquiler,Barcelona,2292149
1343,Venta,Tarragona,1500240
1344,Alquiler,Lleida,370158
1345,Alquiler,Barcelona,333650
1346,Venta,Barcelona,950015
1347,Venta,Lleida,1850004
1348,Venta,Barcelona,892704
1349,Alquiler,Girona,425712
1350,Venta,Tarragona,505040
1351,Venta,Girona,1064637
1352,Alquiler,Barcelona,1702501
1353,Venta,Barcelona,2418064
1354,Alquiler,Tarragona,886222
1355,Venta,Barcelona,1421308
1356,Venta,Lleida,1827420
1357,Venta,Tarragona,2474494
1358,Venta,Tarragona,1059328
1359,Venta,Tarragona,1201480
1360,Venta,Tarragona,1179612
1361,Alquiler,Tarragona,1441188
1362,Venta,Girona,729579
1363,Venta,Lleida,783510
1364,Venta,Girona,350155
1365,Venta,Tarragona,850720
1366,Alquiler,Girona,567486
1367,Venta,Tarragona,183105
1368,Alquiler,Lleida,976384
1369,Alquiler,Lleida,1270800
1370,Alquiler,Barcelona,406252
1371,Venta,Barcelona,2633774
1372,Venta,Lleida,2211328
1373,Venta,Barcelona,1287210
1374,Venta,Girona,1363950
1375,Venta,Lleida,609128
1376,Venta,Tarragona,832000
1377,Alquiler,Tarragona,1543428
1378,Alquiler,Barcelona,1013523
1379,Venta,Girona,958464
1380,Alquiler,Lleida,902212
1381,Venta,Tarragona,1352096
1382,Venta,Girona,814793
1383,Alquiler,Lleida,634583
1384,Venta,Barcelona,2066064
1385,Alquiler,Barcelona,1244600
1386,Alquiler,Lleida,843180
1387,Venta,Girona,2288520
1388,Venta,Girona,1892772
1389,Venta,Lleida,924741
1390,Alquiler,Girona,804640
1391,Alquiler,Girona,1046925
1392,Venta,Tarragona,305756
1393,Venta,Barcelona,2011934
1394,Venta,Girona,1923264
1395,Alquiler,Lleida,1177052
1396,Alquiler,Lleida,1623217
1397,Alquiler,Barcelona,899014
1398,Venta,Girona,804768
1399,Venta,Lleida,1670100
1400,Venta,Barcelona,2349200
1401,Venta,Tarragona,1133050
1402,Alquiler,Girona,2417572
1403,Venta,Barcelona,1453428
1404,Venta,Girona,493166
1405,Venta,Barcelona,1531222
1406,Venta,Tarragona,1864000
1407,Venta,Barcelona,1384355
1408,Venta,Lleida,1733696
1409,Venta,Tarragona,662000
1410,Alquiler,Tarragona,999481
1411,Alquiler,Girona,2120067
1412,Venta,Barcelona,742848
1413,Alquiler,Tarragona,1206766
1414,Alquiler,Barcelona,896969
1415,Alquiler,Barcelona,834394
1416,Venta,Tarragona,1137866
1417,Alquiler,Tarragona,520521
1418,Alquiler,Barcelona,1300276
1419,Venta,Tarragona,1040871
1420,Venta,Barcelona,1584856
1421,Alquiler,Girona,1132230
1422,Alquiler,Tarragona,1240400
1423,Alquiler,Barcelona,1583785
1424,Venta,Barcelona,516159
1425,Alquiler,Tarragona,467410
1426,Alquiler,Girona,2228439
1427,Alquiler,Tarragona,1539135
1428,Alquiler,Lleida,1046800
1429,Venta,Lleida,416430
1430,Venta,Barcelona,1792128
1431,Venta,Barcelona,264438
1432,Alquiler,Tarragona,1610973
1433,Venta,Tarragona,572984
1434,Alquiler,Girona,548000
1435,Venta,Lleida,1428350
1436,Venta,Barcelona,1435239
1437,Venta,Lleida,1001376
1438,Venta,Girona,1306664
1439,Venta,Girona,1504755
1440,Alquiler,Tarragona,2116251
1441,Venta,Barcelona,1496320
1442,Alquiler,Tarragona,672257
1443,Alquiler,Lleida,958392
1444,Alquiler,Barcelona,585812
1445,Venta,Tarragona,470988
1446,Alquiler,Barcelona,567072
1447,Alquiler,Lleida,1579012
1448,Alquiler,Girona,706690
1449,Alquiler,Barcelona,499698
1450,Venta,Barcelona,1779435
1451,Venta,Girona,455000
1452,Alquiler,Lleida,1687836
1453,Alquiler,Tarragona,1605374
1454,Venta,Tarragona,1047774
1455,Venta,Tarragona,2190752
1456,Venta,Lleida,496806
1457,Venta,Girona,1691085
1458,Venta,Girona,456532
1459,Alquiler,Girona,1039452
1460,Venta,Girona,563085
1461,Venta,Lleida,471440
1462,Alquiler,Tarragona,1591584
1463,Venta,Girona,1393157
1464,Alquiler,Tarragona,525454
1465,Venta,Barcelona,802428
1466,Venta,Lleida,2333097
1467,Alquiler,Tarragona,1297686
1468,Alquiler,Lleida,419256
1469,Alquiler,Tarragona,2690954
1470,Alquiler,Tarragona,485013
1471,Alquiler,Lleida,1250952
1472,Venta,Barcelona,1955340
1473,Alquiler,Tarragona,2549313
1474,Alquiler,Tarragona,216187
1475,Alquiler,Lleida,2172232
1476,Alquiler,Girona,364270
1477,Alquiler,Tarragona,1504301
1478,Venta,Tarragona,417231
1479,Venta,Barcelona,1053628
1480,Alquiler,Tarragona,1344933
1481,Alquiler,Barcelona,868367
1482,Venta,Barcelona,368384
1483,Alquiler,Barcelona,2677590
1484,Venta,Barcelona,1484028
1485,Alquiler,Girona,1121906
1486,Venta,Lleida,537915
1487,Alquiler,Barcelona,704476
1488,Venta,Lleida,1323792
1489,Venta,Barcelona,691712
1490,Alquiler,Girona,1241034
1491,Alquiler,Tarragona,1405305
1492,Alquiler,Tarragona,1001750
1493,Alquiler,Tarragona,1471320
1494,Venta,Girona,1590010
1495,Venta,Lleida,2520904
1496,Venta,Tarragona,880075
1497,Alquiler,Girona,256630
1498,Alquiler,Barcelona,1084300
1499,Venta,Lleida,595750
1500,Venta,Lleida,317044
1501,Venta,Girona,1175160
1502,Alquiler,Lleida,977011
1503,Venta,Girona,778430
1504,Venta,Tarragona,220148
1505,Alquiler,Girona,2512640
1506,Venta,Tarragona,716260
1507,Venta,Girona,2594780
1508,Venta,Girona,2180628
1509,Venta,Tarragona,763329
1510,Venta,Lleida,1587063
1511,Alquiler,Girona,2419209
1512,Venta,Lleida,987040
1513,Alquiler,Girona,781000
1514,Alquiler,Lleida,1689000
1515,Venta,Lleida,805714
1516,Alquiler,Girona,1217501
1517,Alquiler,Girona,1456999
1518,Venta,Lleida,659858
1519,Venta,Lleida,999950
1520,Alquiler,Barcelona,399143
1521,Venta,Barcelona,306120
1522,Venta,Lleida,1454232
1523,Alquiler,Tarragona,880380
1524,Venta,Tarragona,2283372
1525,Venta,Girona,586908
1526,Venta,Tarragona,400600
1527,Alquiler,Girona,1132608
1528,Alquiler,Girona,1257075
1529,Alquiler,Tarragona,480240
1530,Venta,Lleida,2325766
1531,Alquiler,Girona,1542580
1532,Alquiler,Girona,540452
1533,Alquiler,Barcelona,1742293
1534,Venta,Tarragona,456756
1535,Venta,Girona,361759
1536,Venta,Barcelona,1035826
1537,Alquiler,Girona,1405852
1538,Venta,Tarragona,850368
1539,Alquiler,Tarragona,2223919
1540,Venta,Lleida,1045816
1541,Venta,Tarragona,2401083
1542,Venta,Girona,381494
1543,Venta,Lleida,1573493
1544,Venta,Lleida,866008
1545,Alquiler,Girona,1294110
1546,Venta,Barcelona,1258534
1547,Alquiler,Barcelona,330885
1548,Alquiler,Tarragona,519259
1549,Alquiler,Barcelona,804144
1550,Alquiler,Girona,944385
1551,Venta,Barcelona,436428
1552,Alquiler,Barcelona,859040
1553,Venta,Barcelona,618786
1554,Alquiler,Barcelona,708840
1555,Alquiler,Tarragona,1388238
1556,Venta,Barcelona,1582845
1557,Alquiler,Tarragona,830648
1558,Alquiler,Girona,824688
1559,Alquiler,Girona,1074921
1560,Alquiler,Barcelona,1823406
1561,Venta,Girona,583638
1562,Venta,Girona,1881810
1563,Venta,Lleida,1983840
1564,Venta,Tarragona,533840
1565,Alquiler,Lleida,706440
1566,Alquiler,Tarragona,2057496
1567,Alquiler,Lleida,2005080
1568,Alquiler,Tarragona,2202837
1569,Alquiler,Barcelona,347931
1570,Venta,Barcelona,583692
1571,Alquiler,Barcelona,1716300
1572,Venta,Barcelona,1271388
1573,Alquiler,Barcelona,1699719
1574,Venta,Barcelona,1620575
1575,Alquiler,Lleida,2207286
1576,Alquiler,Tarragona,1186560
1577,Venta,Girona,1723040
1578,Venta,Tarragona,1207101
1579,Venta,Tarragona,786830
1580,Alquiler,Tarragona,2224917
1581,Alquiler,Lleida,2463021
1582,Alquiler,Girona,1832100
1583,Venta,Girona,916418
1584,Venta,Girona,1026774
1585,Venta,Tarragona,1447434
1586,Venta,Lleida,478639
1587,Alquiler,Girona,2170945
1588,Venta,Lleida,1607487
1589,Venta,Lleida,682168
1590,Venta,Tarragona,1627920
1591,Venta,Barcelona,1107864
1592,Alquiler,Tarragona,562947
1593,Venta,Girona,568880
1594,Venta,Lleida,645408
1595,Alquiler,Barcelona,2133120
1596,Venta,Lleida,1656064
1597,Alquiler,Girona,1606206
1598,Alquiler,Girona,1311730
1599,Alquiler,Lleida,764370
1600,Venta,Lleida,1309544
1601,Alquiler,Tarragona,756355
1602,Alquiler,Barcelona,687720
1603,Venta,Tarragona,807048
1604,Alquiler,Barcelona,1301560
1605,Alquiler,Barcelona,1951328
1606,Alquiler,Lleida,437674
1607,Venta,Barcelona,740731
1608,Alquiler,Lleida,563255
1609,Venta,Lleida,2292465
1610,Alquiler,Tarragona,692037
1611,Venta,Lleida,2110900
1612,Alquiler,Girona,690396
1613,Alquiler,Tarragona,960032
1614,Venta,Girona,399488
1615,Alquiler,Lleida,757260
1616,Alquiler,Lleida,685592
1617,Alquiler,Tarragona,990360
1618,Alquiler,Girona,1477410
1619,Alquiler,Girona,375592
1620,Venta,Girona,1658800
1621,Venta,Tarragona,1782683
1622,Alquiler,Barcelona,286747
1623,Alquiler,Tarragona,281548
1624,Alquiler,Lleida,328646
1625,Venta,Barcelona,1209216
1626,Venta,Barcelona,1202705
1627,Venta,Girona,2440449
1628,Alquiler,Lleida,942579
1629,Alquiler,Tarragona,349623
1630,Alquiler,Barcelona,1900200
1631,Alquiler,Tarragona,404352
1632,Venta,Lleida,1522977
1633,Venta,Girona,739864
1634,Alquiler,Barcelona,1669250
1635,Venta,Girona,1448384
1636,Venta,Barcelona,829808
1637,Venta,Girona,1156808
1638,Venta,Lleida,2155200
1639,Alquiler,Tarragona,1297134
1640,Alquiler,Lleida,552513
1641,Venta,Lleida,2667816
1642,Alquiler,Tarragona,1246050
1643,Venta,Barcelona,2384954
1644,Alquiler,Girona,958132
1645,Venta,Girona,1147608
1646,Venta,Tarragona,2888325
1647,Venta,Tarragona,545986
1648,Venta,Barcelona,906780
1649,Alquiler,Tarragona,293037
1650,Venta,Lleida,592823
1651,Alquiler,Girona,601398
1652,Alquiler,Lleida,761928
1653,Alquiler,Lleida,804327
1654,Alquiler,Barcelona,375232
1655,Alquiler,Lleida,411669
1656,Alquiler,Barcelona,358670
1657,Alquiler,Barcelona,1643256
1658,Alquiler,Barcelona,1069640
1659,Alquiler,Lleida,1926868
1660,Venta,Barcelona,509356
1661,Venta,Lleida,1423007
1662,Alquiler,Barcelona,986048
1663,Venta,Girona,2233120
1664,Alquiler,Lleida,2275994
1665,Alquiler,Lleida,442635
1666,Venta,Barcelona,843106
1667,Alquiler,Lleida,872204
1668,Alquiler,Girona,1933372
1669,Venta,Tarragona,1499889
1670,Venta,Tarragona,1707224
1671,Venta,Girona,1789214
1672,Venta,Lleida,1509710
1673,Venta,Girona,2290046
1674,Alquiler,Tarragona,2045304
1675,Venta,Tarragona,2181353
1676,Venta,Lleida,2625600
1677,Venta,Lleida,474864
1678,Venta,Barcelona,663845
1679,Alquiler,Lleida,615440
1680,Venta,Girona,1459192
1681,Alquiler,Girona,1441070
1682,Venta,Tarragona,552773
1683,Alquiler,Girona,1932448
1684,Alquiler,Barcelona,1191260
1685,Venta,Lleida,765815
1686,Alquiler,Girona,700854
1687,Alquiler,Lleida,1923516
1688,Alquiler,Girona,581580
1689,Venta,Girona,681884
1690,Venta,Tarragona,785628
1691,Venta,Lleida,391950
1692,Venta,Lleida,2171327
1693,Venta,Girona,1826825
1694,Alquiler,Girona,1234048
1695,Venta,Barcelona,1473982
1696,Venta,Girona,1143412
1697,Alquiler,Barcelona,1333593
1698,Alquiler,Barcelona,1558430
1699,Venta,Barcelona,1150128
1700,Venta,Barcelona,1517285
1701,Alquiler,Lleida,840312
1702,Venta,Lleida,2171520
1703,Venta,Barcelona,827057
1704,Alquiler,Tarragona,1429020
1705,Alquiler,Tarragona,2026404
1706,Alquiler,Tarragona,938916
1707,Alquiler,Tarragona,1762180
1708,Alquiler,Barcelona,842683
1709,Venta,Barcelona,2074000
1710,Venta,Barcelona,1424436
1711,Alquiler,Lleida,907580
1712,Venta,Girona,1333434
1713,Venta,Barcelona,617652
1714,Alquiler,Tarragona,526800
1715,Venta,Tarragona,1031305
1716,Alquiler,Tarragona,824517
1717,Venta,Barcelona,1911424
1718,Venta,Lleida,747659
1719,Venta,Barcelona,1668526
1720,Alquiler,Lleida,994750
